modele,date_loc,info
"['AudiA4 cabrioletS4V6 3.0prix initial : 7 350', '', '                              4 999 €  ']",,
"['BmwX530d3.0prix initial : 14 999', '', '                              11 100 €  ']",,
"['VolkswagenTouaregprix initial : 22 450', '', '                              20 000 €  ']",,
"['AudiQ52.0S LINEQUATTROprix initial : 14 400', '', '                              13 200 €  ']",,
"['FiatPunto evo1.4DYNAMIC', '', '                              5 000 €  ']",,
"['OpelAstra1.6SELECTIONprix initial : 1 500', '', '                              1 350 €  ']",,
"['BmwSerie 5', '', '                              6 000 €  ']",,
"['AudiA6 avantRs6', '', '                              42 000 €  ']",,
"['MercedesVito', '', '                              12 500 €  ']",,
"['FiatPandaS', '', '                              1 650 €  ']",,
"['FiatPanda1.1', '', '                              1 650 €  ']",,
"['FiatPanda1.1ACTIVE', '', '                              1 299 €  ']",,
"['FiatPanda1.1ACTIVE', '', '                              1 300 €  ']",,
"['AudiA4 cabrioletS4V6 3.0', '', '                              4 799 €  ']",,
"['MercedesClasse sS 500', '', '                              19 900 €  ']",,
"['OpelAstra sports tourer1.5SPORTprix initial : 24 490', '', '                              21 900 €  ']",,
"['SkodaOctavia1.5STYLE', '', '                              25 750 €  ']",,
"['MercedesClasse aA 250AMG LINE4MATICprix initial : 39 900', '', '                              36 900 €  ']", 21.01.2022 ALLEMAGNEDétail,ESSENCE33 000 Km2019AUTOMATIQUE18528DEVIS ASSURANCEIMPORTEZ CETTE VOITUREVENDEZ
"['OpelGrandland x1.2EDITION', '', '                              23 900 €  ']",,
"['OpelGrandland x1.6ULTIMATEprix initial : 41 990', '', '                              33 980 €  ']",,
"['OpelInsignia grand sport2.0BUSINESS INNOVATIONprix initial : 22 900', '', '                              21 490 €  ']",,
"['OpelAstra1.2EDITION', '', '                              18 900 €  ']",,
"['OpelAstra sports tourer1.5SPORTprix initial : 28 900', '', '                              23 900 €  ']",,
"['OpelAstra sports tourer1.5SPORTprix initial : 32 590', '', '                              23 900 €  ']",,
"['SmartForfour1.0PASSIONprix initial : 13 990', '', '                              16 490 €  ']",,
"['SkodaFabia1.0AMBITION', '', '                              18 950 €  ']",,
"['MazdaMx51.5prix initial : 19 900', '', '                              18 900 €  ']",,
