marque,modele,version,prix_initial,prix,date_loc,info
TOYOTA,,,,6 900 €,28.09.2023 FRANCEDétail,DIESEL305 000 Km2007MANUELLE67160DEVIS ASSURANCEVENDEZ
KIA,,,,12 000 €,29.09.2023 FRANCEDétail,ESSENCE49 000 Km2019AUTOMATIQUE67160DEVIS ASSURANCEIMPORTEZ CETTE VOITUREVENDEZ
KIA,,,,12 000 €,29.09.2023 FRANCEDétail,DIESEL119 000 Km2011MANUELLE67160DEVIS ASSURANCEVENDEZ
OPEL,,,,23 500 €,29.09.2023 FRANCEDétail,ESSENCE94 900 Km2014MANUELLE67160DEVIS ASSURANCEIMPORTEZ CETTE VOITUREVENDEZ
FORD,,,9 500,9 400 €,02.10.2023 FRANCEDétail,ESSENCE105 000 Km2016AUTOMATIQUE67160DEVIS ASSURANCEIMPORTEZ CETTE VOITUREVENDEZ
MERCEDES,,,,6 700 €,02.10.2023 FRANCEDétail,DIESEL138 000 Km2016MANUELLE67160DEVIS ASSURANCEIMPORTEZ CETTE VOITUREVENDEZ
MERCEDES,,,119 900,114 990 €,02.10.2023 FRANCEDétail,DIESEL180 000 Km2006MANUELLE67160DEVIS ASSURANCEVENDEZ
PEUGEOT,,,22 500,29 000 €,04.10.2023 FRANCEDétail,ESSENCE99 701 Km2014MANUELLE67160DEVIS ASSURANCEIMPORTEZ CETTE VOITUREVENDEZ
LANCIA,,,42 990,37 990 €,04.10.2023 FRANCEDétail,ESSENCE11 900 Km2023MANUELLE67160DEVIS ASSURANCEIMPORTEZ CETTE VOITUREVENDEZ
CITROEN,,,43 990,39 990 €,04.10.2023 FRANCEDétail,DIESEL229 810 Km2013AUTOMATIQUE67160DEVIS ASSURANCEIMPORTEZ CETTE VOITUREVENDEZ
BMW,,,5 900,6 600 €,04.10.2023 FRANCEDétail,ESSENCE77 800 Km2011AUTOMATIQUE67160DEVIS ASSURANCEIMPORTEZ CETTE VOITUREVENDEZ
