car_name,car_price
SANDERO,": 23 824,52 €"
SANDERO,": 20 708,33 €"
SANDERO,": 23 995,91 €"
SANDERO,": 23 653,89 €"
JOGGER,": 29 628,28 €"
JOGGER,": 29 134,16 €"
JOGGER,": 28 994,52 €"
JOGGER,": 29 566,64 €"
SANDERO,": 22 317,01 €"
SANDERO,": 23 230,61 €"
SANDERO,": 24 079,58 €"
SPRING,": 24 474,39 €"
SPRING,": 24 111,03 €"
SPRING,": 24 318,87 €"
SPRING,": 24 734,55 €"
JOGGER,": 26 582,52 €"
SPRING,": 23 855,51 €"
SANDERO,": 19 566,31 €"
JOGGER,": 33 919,74 €"
SPRING,": 23 647,67 €"
SANDERO,": 20 294,83 €"
SANDERO,": 19 550,35 €"
SANDERO,": 20 811,43 €"
SPRING,": 24 370,71 €"
SANDERO,": 17 101,72 €"
SANDERO,": 23 615,88 €"
SANDERO,": 23 165,96 €"
SANDERO,": 17 735,28 €"
SPRING,": 24 059,19 €"
SANDERO,": 18 085,20 €"
JOGGER,": 28 344,68 €"
JOGGER,": 29 070,91 €"
SANDERO,": 19 391,55 €"
SANDERO,": 22 794,18 €"
JOGGER,": 29 744,24 €"
SANDERO,": 21 704,10 €"
SANDERO,": 21 256,84 €"
SANDERO,": 24 047,80 €"
JOGGER,": 29 826,24 €"
JOGGER,": 28 603,64 €"
JOGGER,": 35 394,86 €"
JOGGER,": 33 572,70 €"
SANDERO,": 21 664,84 €"
SANDERO,": 22 015,24 €"
SPRING,": 23 395,19 €"
SPRING,": 23 596,79 €"
SANDERO,": 20 043,87 €"
SANDERO,": 22 967,74 €"
SANDERO,": 23 441,36 €"
SANDERO,": 21 548,68 €"
SANDERO,": 20 387,21 €"
SANDERO,": 23 908,81 €"
SANDERO,": 18 642,53 €"
SANDERO,": 21 233,41 €"
SANDERO,": 22 262,02 €"
SANDERO,": 22 992,26 €"
JOGGER,": 29 983,96 €"
SANDERO,": 15 994,68 €"
SANDERO,": 20 617,63 €"
SANDERO,": 17 457,88 €"
SANDERO,": 21 606,76 €"
SANDERO,": 17 958,96 €"
SANDERO,": 16 973,36 €"
SANDERO,": 20 008,27 €"
SANDERO,": 23 897,56 €"
SANDERO,": 23 447,16 €"
"
                                                    CHARGER
                                                , 32,645",
"
                                                    CHALLENGER
                                                , 30,545",
"
                                                    DURANGO
                                                , 38,495",
"
													

													 nouvelle fiat 500 électrique berline","A partir de  29.590, https://fcaslstorageqa.blob.core.windows.net/images/fiat-new-500-ber.jpg, 3321H, NOUVELLE FIAT 500 ÉLECTRIQUE BERLINE"
"
													Fiat

													 nouvelle fiat 500 électrique cabriolet","A partir de  35.950, https://fcaslstorageqa.blob.core.windows.net/images/fiat-new-500-cab.jpg, 3322C, NOUVELLE FIAT 500 ÉLECTRIQUE CABRIOLET"
"
													

													 nouvelle fiat 500 électrique 3+1","A partir de  35.550, https://fcaslstorageqa.blob.core.windows.net/images/fiat-new-500-3_1.jpg, 3321S, NOUVELLE FIAT 500 ÉLECTRIQUE 3+1"
"
													Fiat

													 500 hatchback","A partir de  17.700, https://lb.assets.fiat.com/vl-picker-service/rest/getImage?source=stocklocator&consumer=responsive&market=1000&brand=00&model=3120H&mmvs=003120DG0000&body=268&seat=243&angle=3&view=EXT&width=1024&height=576&background=FFFFFF, 3121H, 500 HATCHBACK"
"
													Fiat

													 500 hatchback cabrio","A partir de  20.700, https://lb.assets.fiat.com/vl-picker-service/rest/getImage?source=stocklocator&consumer=responsive&market=1000&brand=00&model=3120C&mmvs=003125EG0000&body=268&seat=243&angle=3&view=EXT&width=1024&height=576&background=FFFFFF, 3121C, 500 HATCHBACK CABRIO"
"
													Fiat

													 500x urban look","A partir de  27.499, https://lb.assets.fiat.com/vl-picker-service/rest/getImage?source=stocklocator&consumer=responsive&market=1000&brand=00&model=3341&mmvs=003343301000&body=731&seat=121&angle=2&view=EXT&width=1024&height=576&background=FFFFFF, 3346H, 500X URBAN LOOK"
"
													Fiat

													 500x cross look","A partir de  36.050, https://lb.assets.fiat.com/vl-picker-service/rest/getImage?source=stocklocator&consumer=responsive&market=1000&brand=00&model=3341CR&mmvs=0033443A1000&body=895&seat=030&angle=2&view=EXT&width=1024&height=576&background=FFFFFF, 3347C, 500X CROSS LOOK"
"
													Fiat

													 panda","A partir de  13.650, https://lb.assets.fiat.com/vl-picker-service/rest/getImage?source=stocklocator&consumer=responsive&market=1000&brand=00&model=3193&mmvs=003191313000&body=078&seat=131&angle=2&view=EXT&width=1024&height=576&background=FFFFFF, 3196, PANDA"
"
													Fiat

													 tipo 5 portes","A partir de  21.800, https://lb.assets.fiat.com/vl-picker-service/rest/getImage?source=stocklocator&consumer=responsive&market=1000&brand=00&model=357HB&mmvs=003570200000&body=612&seat=015&angle=2&view=EXT&width=1024&height=576&background=FFFFFF, 3573HB, TIPO 5 PORTES"
,"39 850 €, KONA Electric Nouvelle Génération"
,"45 850 €, TUCSON Plug-in"
,"31 900 €, KONA Hybrid"
,"15 900 €, Nouvelle i10"
,"28 900 €, i20 N"
E-PACE R-DYNAMIC S,54 900 €
E-PACE R-DYNAMIC SE,58 400 €
E-PACE R-DYNAMIC HSE,61 500 €
AVENGER,"
						À PARTIR DE27 000 € 
					"
RENEGADE,"
						À PARTIR DE30 950 €
					"
COMPASS,"
						À PARTIR DE37 450 €
					"
GRAND CHEROKEE,"
						À PARTIR DE99 500 €
					"
WRANGLER 2023,"
						À PARTIR DE80 700 €
					"
WRANGLER 2024,
GLADIATOR,"
						À PARTIR DE79 600 €
					"
Picanto,"
                              À partir de 13 240 €
                              
                                
                              
                            "
Stonic,"
                              À partir de 21 140 €
                              
                                
                              
                            "
e-Soul 100% électrique,"
                              À partir de 41 840 €
                              
                                
                              
                            "
Ceed,"
                              À partir de 24 440 €
                              
                                
                              
                            "
Ceed SW,"
                              À partir de 25 440 €
                              
                                
                              
                            "
Ceed SW Hybride Rechargeable,"
                              À partir de 38 540 €
                              
                                
                              
                            "
ProCeed,"
                              À partir de 31 040 €
                              
                                
                              
                            "
XCeed,"
                              À partir de 26 740 €
                              
                                
                              
                            "
XCeed Hybride Rechargeable,"
                              À partir de 37 140 €
                              
                                
                              
                            "
Niro EV 100% électrique,"
                              À partir de 45 640 €
                              
                                
                              
                            "
Niro Hybride,"
                              À partir de 32 340 €
                              
                                
                              
                            "
Niro Hybride Rechargeable,"
                              À partir de 39 240 €
                              
                                
                              
                            "
Sportage,"
                              À partir de 31 340 €
                              
                                
                              
                            "
Sportage Hybride,"
                              À partir de 39 390 €
                              
                                
                              
                            "
Sportage Hybride Rechargeable,"
                              À partir de 45 490 €
                              
                                
                              
                            "
EV6 100% électrique,"
                              À partir de 49 690 €
                              
                                
                              
                            "
EV6 GT 100% ÉLECTRIQUE,"
                              À partir de 74 690 €
                              
                                
                              
                            "
Sorento,"
                              À partir de 52 140 €
                              
                                
                              
                            "
EV9 100% électrique,"
                              À partir de 73 000 €
                              
                                
                              
                            "
,
UX,41 990 €
NX,57 000 €
ES,58 300 €
RZ,75 600 €
RX,93 400 €
LS,119 900 €
RC F,124 900 €
LC,127 700 €
,
"
                                        Grecale
                                    ","
                                                81 200 €
                                            "
"
                                        Ghibli
                                    ","
                                                105 250 €
                                            "
"
                                        Levante
                                    ","
                                                111 500€
                                            "
"
                                        Quattroporte
                                    ","
                                                174 550 €
                                            "
"
                                        GranTurismo
                                    ","
                                                181 350 €
                                            "
"
                                        MC20
                                    ",
"
                                        MC20 Cielo
                                    ",
MAZDA CX‑60,"53 150,00 €"
MAZDA MX‑30,"38 250,00 €"
,
MAZDA CX‑5,"36 200,00 €"
MAZDA CX‑30,"29 600,00 €"
MAZDA2,"20 250,00 €"
MAZDA2 HY­BRID,"25 250,00 €"
MAZDA3 5 PORTES,"27 300,00 €"
MAZDA3 BERLINE,"27 300,00 €"
MAZDA MX‑5 ROADSTER,"30 850,00 €"
MAZDA MX‑5 RF,"33 350,00 €"
